id,title,date,article_url,place_of_accident,district,number_of_deaths,number_of_injured,vehicle_type,cause_of_accident,country,report_type,type_of_accident
224,College student dies in Panchagarh road accident,2021-12-07 08:59:21,https://en.prothomalo.com/bangladesh/accident/college-student-dies-in-panchagarh-road-accident,panchagarh sadar upazila,panchagarh,1,0,motorcycle and a three-wheeler,head-on collision,Bangladesh,event,road accident
226,University student killed in city road accident,2021-12-04 14:12:54,https://en.prothomalo.com/bangladesh/accident/university-student-killed-in-city-road-accident,kaola area near hazrat shahjalal international airport,dhaka,1,0,truck,run over by a truck,Bangladesh,event,road accident
227,Student’s death in Rampura not merely an accident: Obaidul Quader,2021-12-02 09:03:04,https://en.prothomalo.com/bangladesh/government/students-death-in-rampura-not-merely-an-accident-obaidul-quader,"rampura, city",dhaka,1,0,bus,"accident news spreading, leading to arson",Bangladesh,event,road accident
229,Two of a family killed in Keraniganj road accident,2021-11-27 22:07:40,https://en.prothomalo.com/bangladesh/accident/two-of-a-family-killed-in-keraniganj-road-accident,postogola bridge,south keraniganj,2,1,pickup van,hit them,Bangladesh,event,road accident
231,"2 killed, 8 injured in separate road accidents in Dinajpur",2021-11-19 15:46:13,https://en.prothomalo.com/bangladesh/accident/2-killed-8-injured-in-separate-road-accidents-in-dinajpur,chakarampur village,dinajpur,2,8,,,Bangladesh,event,road accident
233,"Five killed, one injured in Gaibandha road accident",2021-11-19 11:35:58,https://en.prothomalo.com/bangladesh/accident/five-killed-one-injured-in-gaibandha-road-accident,bakchar area on the bogura-rangpur highway,gaibandha,5,1,,,Bangladesh,event,road accident
234,Two sisters killed in Lakshmipur road accident,2021-11-13 15:14:18,https://en.prothomalo.com/bangladesh/accident/two-sisters-killed-in-lakshmipur-road-accident,palerhat area of the lakshmipur-ramganj highway,lakshmipur,2,0,truck,speeding truck run over,Bangladesh,event,road accident
235,4 including 3 of a family killed in Kurigram road accident,2021-11-12 15:47:59,https://en.prothomalo.com/bangladesh/accident/4-including-3-of-a-family-killed-in-kurigram-road-accident,nageshwari area,kurigram,4,1,bus and auto-rickshaw,head-on collision,Bangladesh,event,road accident
237,3 killed in Gazipur road accident,2021-11-05 11:32:35,https://en.prothomalo.com/bangladesh/accident/3-killed-in-gazipur-road-accident,mc bazar area,gazipur,3,1,pick-up van,ploughed into them,Bangladesh,event,road accident
238,"Mother, son killed in Gaibandha road accident",2021-11-05 09:05:41,https://en.prothomalo.com/bangladesh/accident/mother-son-killed-in-gaibandha-road-accident,gobindaganj,gaibandha,2,0,"truck, motorcycle",truck hit a motorcycle,Bangladesh,event,road accident
239,School student killed in Patuakhali bike accident,2021-11-02 11:51:26,https://en.prothomalo.com/bangladesh/accident/school-student-killed-in-patuakhali-bike-accident,payra bridge in lebukhali,lebukhali,1,3,motorbikes,head-on collision,Bangladesh,event,road accident
240,"Two killed in Sylhet road accident

",2021-10-29 20:15:38,https://en.prothomalo.com/bangladesh/accident/two-killed-in-sylhet-road-accident-2,sylhet-tamabil highway at jaintapur,sylhet,2,0,private car and cng-run auto rickshaw,head-on collision,Bangladesh,event,road accident
242,2 killed in Mymensingh road crash,2025-09-13 14:02:46,https://en.prothomalo.com/bangladesh/accident/xmi9mzllmi,dhaka-mymensingh highway,mymensingh,2,15,bus,head-on collision,Bangladesh,event,road accident
243,2 killed in Mymensingh road crash,2025-09-13 14:02:46,https://en.prothomalo.com/bangladesh/2-killed-in-Mymensingh-road-crash-3,dhaka-mymensingh highway,mymensingh,2,15,bus,head-on-collision,Bangladesh,event,road accident
244,2 killed in Mymensingh road crash,2025-09-13 14:02:46,https://en.prothomalo.com/bangladesh/2-killed-in-Mymensingh-road-crash,dhaka-mymensingh highway,mymensingh,2,15,bus,head-on collision,Bangladesh,event,road accident
245,Five killed as passenger bus plunges into Rehmatkhali canal in Lakshmipur,2025-09-06 14:45:40,https://en.prothomalo.com/bangladesh/accident/6dflb8jcub,rehmatkhali canal in the chandraganj area of lakshmipur sadar upazila,lakshmipur sadar,5,0,bus,lost control and fell into the canal,Bangladesh,event,road accident
246,Parents and two sons die together on their way home,2025-08-23 11:53:26,https://en.prothomalo.com/bangladesh/accident/wrea5pewdr,dhaka to cumilla road,cumilla,4,0,private car,road accident,Bangladesh,event,road accident
247,3 killed as car crashes into motorcycle carrying 4,2025-08-22 12:42:25,https://en.prothomalo.com/bangladesh/accident/vly9kyzg80,"dhaka-bhanga expressway, nimtala area",dhaka,3,1,"motorcycle, car",car crashed into motorcycle,Bangladesh,event,road accident
248,Five killed as pickup crashes into stationary covered van in Chattogram,2025-08-18 10:03:30,https://en.prothomalo.com/bangladesh/accident/65b44w5ry2,city gate area of chattogram,chattogram,5,0,"pickup van, covered van",pickup van lost control and rammed into the back of a stationary covered van,Bangladesh,event,road accident
249,Tangail road crash kills 3,2025-08-07 12:52:07,https://en.prothomalo.com/bangladesh/accident/efcrowfo5t,bilaspur bot tala area,tangail,3,1,pickup van and a motorcycle,collision,Bangladesh,event,road accident
250,7 die as microbus plunges into canal in Noakhali,2025-08-06 09:54:37,https://en.prothomalo.com/bangladesh/accident/iqomr1ds4s,alaiyapur union,noakhali,7,0,microbus,plunged into a roadside canal,Bangladesh,event,road accident
252,"One dead, six injured as truck rams into bus on expressway",2025-08-01 13:58:54,https://en.prothomalo.com/bangladesh/accident/gk81rr1cwx,dhaka–mawa expressway near the kamarkhola bridge,srinagar upazila of munshiganj,1,6,"freight truck, passenger bus",freight truck crashed into a stationary passenger bus,Bangladesh,event,road accident
256,6 killed in truck-microbus head-on collision in Natore,2025-07-23 12:31:33,https://en.prothomalo.com/bangladesh/accident/uadfdte32x,baraigram,natore,6,2,truck and microbus,head-on collision,Bangladesh,event,road accident
261,4 dead in Gazipur road crash,2025-07-19 11:11:47,https://en.prothomalo.com/bangladesh/accident/8uk6u76l8a,barachala on the mawna-kaliakoir regional road,gazipur,4,0,covered van and cng-run auto rickshaw,collision between covered van and cng-run auto rickshaw,Bangladesh,event,road accident
262,Two DNCC cleaners killed by covered van in Khilkhet,2025-07-06 12:14:49,https://en.prothomalo.com/bangladesh/accident/2k7jh7phsb,in front of the le meridian hotel,khilkhet,2,0,covered van,run over by a covered van,Bangladesh,event,road accident
263,"Bus-truck collision leaves 3 dead, 10 injured in Pabna",2025-07-04 11:17:48,https://en.prothomalo.com/bangladesh/accident/pqwc6ur0c2,dhaka-pabna highway in santhia upazila,pabna district,3,10,bus and truck,head-on collision,Bangladesh,event,road accident
264,Truck runs over 3 pedestrians in Uttara,2025-06-29 12:15:51,https://en.prothomalo.com/bangladesh/accident/kflqq9523u,azampur area,uttara,3,0,stone-laden truck,run over by a truck,Bangladesh,event,road accident
265,4 killed as bus rams into truck on Munshiganj Expressway,2025-06-28 09:38:06,https://en.prothomalo.com/bangladesh/accident/mh87qva50k,dhaka–mawa expressway in srinagar upazila of munshiganj,munshiganj,4,15,passenger bus and truck,passenger bus slammed into the rear of a truck,Bangladesh,event,road accident
266,10 killed in Mymensingh road crashes,2025-06-21 08:40:37,https://en.prothomalo.com/bangladesh/accident/wf1jxrcdkp,kodaldar area on the mymensingh-phulpur road,mymensingh,10,8,"cng auto-rickshaw, ambulance",head-on collision,Bangladesh,event,road accident
267,"5 dead, 15 injured in Dinajpur road crash",2025-06-14 09:32:40,https://en.prothomalo.com/bangladesh/accident/v1ae546ux7,nurjahanpur area of ghoraghat upazila,dinajpur,5,15,"bus, truck",bus crashed into a parked truck,Bangladesh,event,road accident
268,Road crash kills 2 in Chandpur,2025-06-09 09:25:36,https://en.prothomalo.com/bangladesh/accident/ju40itab2g,matlab upazila,chandpur,2,5,"bus, cng-run auto-rickshaw",head-on collision,Bangladesh,event,road accident
269,Father and son hit and killed by car on the way to Eid congregation,2025-06-07 13:38:26,https://en.prothomalo.com/bangladesh/accident/0ush16ixzz,"bamunia, along the dhaka-rangpur highway",bogura,2,0,car,hit and killed by a car,Bangladesh,event,road accident
270,Man rescued alive 2hrs after being trapped between bus and tree,2025-06-06 15:59:52,https://en.prothomalo.com/bangladesh/accident/bf6wklny52,mesordia intersection,faridpur,0,1,bus,trapped between a bus and a tree,Bangladesh,event,road accident
271,3 pedestrians killed as truck hits easy bike in Sherpur,2025-06-05 11:57:04,https://en.prothomalo.com/bangladesh/accident/zse9nzaivh,mobarakpur mahishaband area of sreebardi-longaorpara road,sherpur,3,0,"truck, easy bike",truck struck their easy bike,Bangladesh,event,road accident
272,"5 killed, 4 injured in Faridpur bus-Mahindra collision",2025-06-04 09:51:46,https://en.prothomalo.com/bangladesh/accident/v7ud23a09i,bablatala area of chumurdi union,faridpur,5,4,bus and mahindra,head-on collision,Bangladesh,event,road accident
273,4 of a family killed in Sylhet landslide,2025-06-01 09:41:17,https://en.prothomalo.com/bangladesh/accident/rjjr6svn20,golapganj upazila,sylhet,4,0,,landslide,Bangladesh,event,road accident
275,"3 killed, 30 injured in Gopalganj road crash",2025-05-16 09:06:22,https://en.prothomalo.com/bangladesh/accident/zvzjh402cp,dhaka-khulna highway in gopalganj,gopalganj,3,30,passenger bus and a truck,speeding truck coming from the opposite direction,Bangladesh,event,road accident
276,Met Office issues lightning alert in 12 dists,2025-04-30 17:47:13,https://en.prothomalo.com/bangladesh/accident/9k248c4b6s,,"jashore, kushtia, satkhira, chuadanga, khulna, barishal, dhaka, faridpur, madaripur, mymensingh, sylhet and cox’s bazar",0,0,,"lightning, gusty/squally winds",Bangladesh,event,road accident
277,5 killed in Rangamati road crash,2025-04-26 15:44:09,,chattogram-rangamati road in rubber bagan area,rangamati,5,1,pickup and cng-run auto-rickshaw,collision,Bangladesh,event,road accident
278,Youth critically injured after being shot in Hatirjheel,2025-04-20 13:24:28,,morol goli area of hatirjheel,madaripur,0,1,,shot by unidentified assailants,Bangladesh,event,road accident
279,Two of a family killed in Sylhet road accident  ,2021-09-18 17:14:09,https://en.prothomalo.com/bangladesh/accident/two-of-a-family-killed-in-sylhet-road-accident,ranaping fazilpur on sylhet-jockyganj highway,sylhet,2,4,private car and pickup van,collision,Bangladesh,event,road accident
281,Three motorcyclists killed in Rangpur road accident,2021-09-08 15:15:05,https://en.prothomalo.com/bangladesh/accident/three-motorcyclists-killed-in-rangpur-road-accident,khiyarpara point on the mithapukur-fulbari regional highway,badarganj,3,0,motorcycle,hit a roadside tree,Bangladesh,event,road accident
282,"HC rules for creating fund to compensate road accident victims, families",2021-09-06 18:26:22,https://en.prothomalo.com/bangladesh/crime-and-law/hc-rules-for-creating-fund-to-compensate-road-accident-victims-families,high court,dhaka,0,0,,legal proceedings regarding compensation for victims,Bangladesh,event,road accident
283,"2 killed, 2 injured in Madaripur accident",2021-09-05 08:55:00,https://en.prothomalo.com/bangladesh/accident/2-killed-2-injured-in-madaripur-accident,karnapara,madaripur,2,2,bus and auto-run rickshaw-van,collision,Bangladesh,event,road accident
284,‘Networker Baire’ artistes survive horrific accident,2021-08-27 16:17:04,https://en.prothomalo.com/bangladesh/city/networker-baire-artistes-survive-horrific-accident,gulshan area,dhaka,0,5,car,hit an electric pole,Bangladesh,event,road accident
285,Road accident claims 6 lives in Habiganj,2021-08-16 13:01:02,https://en.prothomalo.com/bangladesh/accident/road-accident-claims-6-lives-in-habiganj,nosrotpur gate area on dhaka-sylhet highway,"shayestaganj, habiganj",6,0,"truck, cng-run auto-rickshaw",head-on collision,Bangladesh,event,road accident
287,"3 killed, 25 injured in Rangpur road accident",2021-07-21 18:05:25,https://en.prothomalo.com/bangladesh/accident/3-killed-25-injured-in-rangpur-road-accident,dhaka-dinajpur highway in taraganj upazila,rangpur,3,25,two buses,head-on collision,Bangladesh,event,road accident
289,Kushtia road accidents kill 3,2021-07-14 16:04:45,https://en.prothomalo.com/bangladesh/accident/kushtia-road-accidents-kill-3,kushtia-jhenaidah highway near madhupur haat,kushtia,2,0,truck and motorbike,collision,Bangladesh,event,road accident
293,Three killed in  Mymensingh road accident,2021-06-23 14:29:34,https://en.prothomalo.com/bangladesh/accident/three-killed-in-mymensingh-road-accident,mymensingh-tangail highway in rasulpur area,muktagachha,3,0,motorcycle,,Bangladesh,event,road accident
294,2 killed in Fatullah road accident,2021-06-19 22:29:35,https://en.prothomalo.com/bangladesh/accident/2-killed-in-fatullah-road-accident,old dhaka-narayanganj highway adjacent to masdair amena garments,fatullah,2,0,"battery-run auto-rickshaw, covered van",collision,Bangladesh,event,road accident
295,"7 killed in three road accidents in Chattogram, Rangamati

",2021-06-18 22:58:55,https://en.prothomalo.com/bangladesh/accident/7-killed-in-three-road-accidents-in-chattogram-rangamati,epz steel mills bazar and shikalbaha area of karnafuli police station,chattogram and rangamati,7,22,bus,bus overturned,Bangladesh,event,road accident
296,ASI killed in Chattogram road accident,2021-06-11 14:41:21,https://en.prothomalo.com/bangladesh/accident/asi-killed-in-chattogram-road-accident,meheraj khan ghata,chandgaon,1,0,,hit by a vehicle,Bangladesh,event,road accident
297,4 sustain burns in Savar factory accident,2021-06-04 11:40:46,https://en.prothomalo.com/bangladesh/accident/4-sustain-burns-in-savar-factory-accident,savar,dhaka,0,4,factory equipment,hot water spill from boiler,Bangladesh,event,road accident
299,"Mother-son killed in Sylhet road accident

",2021-05-16 20:29:33,https://en.prothomalo.com/bangladesh/accident/mother-son-killed-in-sylhet-road-accident,dhaka-sylhet highway,sylhet,2,5,private car and bus,head-on collision,Bangladesh,event,road accident
300,"RAB member, another killed in Gazipur road accident ",2021-05-12 22:50:23,https://en.prothomalo.com/bangladesh/accident/rab-member-another-killed-in-gazipur-road-accident,dhaka-mymensingh highway,gazipur,2,4,microbus and rab vehicle,microbus hit a stationary rab vehicle,Bangladesh,event,road accident
301,3 killed in Chattogram road accident ,2021-05-10 20:05:10,https://en.prothomalo.com/bangladesh/accident/3-killed-in-chattogram-road-accident,"banshkhali upazila, chattogram",chattogram,3,2,"truck, auto rickshaw",head-on collision between truck and auto rickshaw,Bangladesh,event,road accident
302,Road accident kills two workers in Noakhali,2021-05-04 19:09:06,https://en.prothomalo.com/bangladesh/accident/road-accident-kills-two-workers-in-noakhali,begumganj-chowmuhani road near eklashpur bazar area,begumganj upazila of noakhali,2,0,"pickup, rickshaw van",pickup hit a rickshaw van,Bangladesh,event,road accident
303,Couple killed in Meherpur road accident,2021-05-04 17:57:59,https://en.prothomalo.com/bangladesh/accident/couple-killed-in-meherpur-road-accident,amjhupi-garadove highway,meherpur sadar,2,5,car,returning home after receiving chemotherapy,Bangladesh,event,road accident
304,"4 killed, 7 injured in Rangpur road accident",2021-04-30 15:45:26,https://en.prothomalo.com/bangladesh/accident/4-killed-7-injured-in-rangpur-road-accident,rangpur-dhaka highway,mithapukur of rangpur,4,7,truck,driver lost control over the steering while overtaking another truck,Bangladesh,event,road accident
